Date,value
ene-05,3313968
feb-05,3172093
mar-05,2810328
abr-05,2947894
may-05,2956447
jun-05,3010743
jul-05,3503233
ago-05,3638170
sep-05,3691852
oct-05,3555857
nov-05,3274886
dic-05,3258934
ene-06,3476011
feb-06,3382243
mar-06,3167996
abr-06,3308106
may-06,3548557
jun-06,3506786
jul-06,3873735
ago-06,4020078
sep-06,4074824
oct-06,3804098
nov-06,3718852
dic-06,3838011
ene-07,3971385
feb-07,3914848
mar-07,3474738
abr-07,3387969
may-07,3496689
jun-07,3540491
jul-07,4009738
ago-07,4342745
sep-07,4427601
oct-07,4005972
nov-07,4041579
dic-07,3975789
ene-08,4171898
feb-08,4112500
mar-08,3718929
abr-08,3728435.33
may-08,3929776
jun-08,4016146
jul-08,4437403
ago-08,4657702
sep-08,4778632
oct-08,4324890
nov-08,4324203
dic-08,4184626
ene-09,4393527.855
feb-09,3992201.848
mar-09,3682543.599
abr-09,3822123.57
may-09,4202701.274
jun-09,4097856.536
jul-09,4574629.985
ago-09,5067203.22
sep-09,5178251.023
oct-09,4388975.386
nov-09,4317508.139
dic-09,4100042.715
ene-10,4378703.836
feb-10,4191532.878
mar-10,3847054.057
abr-10,3928679.267
may-10,4048386.661
jun-10,4301269.716
jul-10,5141604.279
ago-10,5224629.96
sep-10,5450417.223
oct-10,4897956.066
nov-10,4797958.033
dic-10,4321550.941
ene-11,4512548.179
feb-11,4694550.49
mar-11,4377315.616
abr-11,4671590.926
may-11,4819683.97
jun-11,4991924.028
jul-11,5528663.86
ago-11,5630401.926
sep-11,5976857.448
oct-11,5465980.643
nov-11,5017368.54
dic-11,4911691.743
ene-12,4865485.277
feb-12,4875705.224
mar-12,4690858.577
abr-12,4788530.185
may-12,4848343.546
jun-12,4984162.605
jul-12,5494747.739
ago-12,5557595.738
sep-12,5741382.518
oct-12,5195637.608
nov-12,5064924.842
dic-12,4737516.807
ene-13,4788540.002
feb-13,4782219.659
mar-13,4190200.243
abr-13,4375102.795
may-13,4609581.033
jun-13,4894160.166
jul-13,5473711.553
ago-13,5862884.58
sep-13,5728077.606
oct-13,5211877.572
nov-13,5188849.417
dic-13,5015749.524
ene-14,5148544.653
feb-14,5003343.49
mar-14,4503119.859
abr-14,4741922.634
may-14,4954087.341
jun-14,5043775.213
jul-14,5802078.79
ago-14,6320999.384
sep-14,6262878.904
oct-14,5629398.813
nov-14,5438757.318
dic-14,5094835.026
ene-15,5162080.289
feb-15,5031975.903
mar-15,4538341.883
abr-15,4878973.839
may-15,4980114.877
jun-15,5007856.088
jul-15,5749089.471
ago-15,6495336.419
sep-15,6638581.268
oct-15,6179572.059
nov-15,5992450.431
dic-15,5539494.519
ene-16,5356081.621
feb-16,5060171.72
mar-16,4487728.529
abr-16,4917729.963
may-16,5206576.528
jun-16,5498242.161
jul-16,6306916.729
ago-16,6846686.598
sep-16,6698205.653
oct-16,6169488.923
nov-16,6161349.886
dic-16,5832471.953
ene-17,5240825.149
feb-17,5149702.443
mar-17,4992222.241
abr-17,5313723.67
may-17,5572483.896
jun-17,5604025.969
jul-17,6596338.656
ago-17,6955019.615
sep-17,6911422.704
oct-17,6274654.214
nov-17,6022827.003
